TotalEarnings,Age,Gender,EconomicStatus,PartnersEconomicStatus,AgeBand,WorkingStatus,HighestEducationalLevel,EmploymentType,SocioEconomicGroup,AnnualNetHouseholdIncome,EmploymentStatus,PropertyType,TotalSavings,CreditCardDebt,LoanDebt,HousingCostMonthly,FinancialHealth,EconomicStat,PartnerEconomicStat,Occupation
44000,35,Male,2,3,31-35,Working Couple,HNC/HND (SVQ Level 4),5,Skilled manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",No,Yes,600,Manage quite well,Full-Time,Part-Time,Lower supervisory and technical occupations
0,26,Female,4,NA,26-30,Non-Working Single,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£20001 - £25000,4,Rents (including rents paid by housing benefit),No savings,No,No,450,Manage quite well,Homemaker,NA,Lower supervisory and technical occupations
30000,45,Female,1,2,41-45,Working Couple,No Qualifications,4,Employers and managers - small establishments,£30001 - £40000,1,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,340,Manage very well,Self-Employed,Full-Time,Small employers and own account workers
62000,53,Male,2,3,51-55,Working Couple,Standard Grade (SVQ Level 1 and 2),1,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,1000,Have some financial difficulties,Full-Time,Part-Time,Higher managerial and professional occupations
18000,64,Male,1,NA,61-65,Single Working Adult,Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£15001 - £20000,1,Own it outright,No savings,No,No,NA,Manage quite well,Self-Employed,NA,Small employers and own account workers
47000,57,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,740,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
62000,48,Female,3,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Get by alright,Part-Time,Full-Time,Lower managerial and professional occupations
0,62,Male,10,13,56-60,"Couple, neither work",NA,9,Inadequately described and not stated,£10001 -£15000,4,Rents (including rents paid by housing benefit),No savings,No,No,400,Have some financial difficulties,Disabled,NA,Not classified
62000,43,Female,2,2,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Employers and managers - large establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
24000,63,Female,5,1,61-65,"Couple, one works",Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£40001,5,Own it outright,"£1,000 or more",Yes,No,NA,Get by alright,Retired,Self-Employed,Not classified
0,57,Female,10,NA,56-60,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,300,Don't manage very well,Disabled,NA,Not classified
49000,55,Male,2,2,51-55,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,£40001,2,Rents (including rents paid by housing benefit),Refusal,No,No,580,Manage quite well,Full-Time,Full-Time,Semi-routine occupations
37000,47,Female,2,2,46-50,Working Couple,Standard Grade (SVQ Level 1 and 2),5,Semi-skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,410,Get by alright,Full-Time,Full-Time,Lower supervisory and technical occupations
56000,41,Male,2,3,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£40001,3,Buying with mortgage/loan,No savings,Yes,No,NA,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
27000,50,Male,2,2,46-50,Working Couple,NA,3,Junior non-manual workers,£25001 - £30000,2,Own it outright,Refusal,No,No,NA,Manage quite well,Full-Time,Full-Time,Intermediate occupations
30000,64,Male,5,5,61-65,"Couple, neither work",Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£25001 - £30000,5,Own it outright,Refusal,Yes,No,NA,Manage quite well,Retired,Retired,Higher managerial and professional occupations
58000,41,Male,2,1,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,£40001,1,Buying with mortgage/loan,"£1,000 or more",No,No,700,Manage very well,Full-Time,Self-Employed,Higher managerial and professional occupations
23000,63,Male,2,5,61-65,"Couple, one works",HNC/HND (SVQ Level 4),5,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,650,Manage very well,Full-Time,Retired,Lower supervisory and technical occupations
54000,55,Male,2,2,51-55,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
11000,23,Female,2,NA,21-25,Single Working Adult,Highers and A-Levels (SVQ Level 3),7,Personal service workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,450,Get by alright,Full-Time,NA,Routine occupations
54000,40,Female,2,2,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,650,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
34000,44,Male,2,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£30001 - £40000,3,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Full-Time,NA,Higher managerial and professional occupations
32000,35,Male,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£30001 - £40000,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,520,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
33000,49,Male,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
27000,51,Male,2,2,46-50,Working Couple,Highers and A-Levels (SVQ Level 3),7,Skilled manual workers,£25001 - £30000,2,Buying with mortgage/loan,"Less than £1,000",No,No,500,Manage quite well,Full-Time,Full-Time,Routine occupations
37000,51,Male,2,3,41-45,Working Couple,HNC/HND (SVQ Level 4),1,Professional workers - employees,£30001 - £40000,3,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,450,Get by alright,Full-Time,Part-Time,Higher managerial and professional occupations
29000,49,Male,2,2,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),7,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,420,Get by alright,Full-Time,Full-Time,Routine occupations
0,60,Male,6,NA,56-60,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£6001 - £10000,6,Rents (including rents paid by housing benefit),No savings,No,No,270,Get by alright,Unemployed,NA,Not classified
10000,47,Male,2,4,46-50,"Couple, one works",HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£6001 - £10000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,650,Manage very well,Full-Time,Homemaker,Lower managerial and professional occupations
20000,60,Male,1,5,56-60,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£30001 - £40000,1,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Self-Employed,Retired,Small employers and own account workers
23000,42,Female,2,NA,41-45,Single Working Adult,HNC/HND (SVQ Level 4),3,Intermediate non-manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,550,Get by alright,Full-Time,NA,Intermediate occupations
25000,44,Male,2,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,450,Get by alright,Full-Time,NA,Lower managerial and professional occupations
61000,29,Male,2,1,26-30,Working Couple,HNC/HND (SVQ Level 4),1,Intermediate non-manual workers,£40001,1,Buying with mortgage/loan,No savings,No,No,430,Get by alright,Full-Time,Self-Employed,Higher managerial and professional occupations
6000,50,Female,3,4,51-55,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),6,Junior non-manual workers,£6001 - £10000,4,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Part-Time,Homemaker,Semi-routine occupations
47000,39,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,700,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
14000,22,Female,2,NA,21-25,Single Working Adult,HNC/HND (SVQ Level 4),6,Personal service workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),No savings,No,No,430,Get by alright,Full-Time,NA,Semi-routine occupations
21000,32,Male,2,6,31-35,"Couple, one works",No Qualifications,7,Unskilled manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,No,No,420,Get by alright,Full-Time,Unemployed,Routine occupations
45000,24,Male,1,2,21-25,Working Couple,Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£40001,1,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,530,Manage very well,Self-Employed,Full-Time,Small employers and own account workers
23000,29,Male,2,NA,26-30,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Skilled manual workers,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",No,No,240,Manage very well,Full-Time,NA,Semi-routine occupations
35000,28,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,290,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
0,53,Female,11,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,NA,11,Rents (including rents paid by housing benefit),Refusal,No,No,300,Get by alright,Short-Term_Disabled,NA,Not classified
14000,37,Female,2,NA,36-40,Single Working Adult,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,No,No,430,Get by alright,Full-Time,NA,Intermediate occupations
55000,48,Female,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,750,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
31000,26,Male,2,2,26-30,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,600,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
0,48,Male,10,NA,46-50,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£6001 - £10000,10,Rents (including rents paid by housing benefit),No savings,No,No,250,Get by alright,Disabled,NA,Not classified
26000,52,Male,2,NA,51-55,Single Working Adult,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,250,Get by alright,Full-Time,NA,Intermediate occupations
19000,57,Female,2,5,56-60,"Couple, one works",HNC/HND (SVQ Level 4),3,Junior non-manual workers,£25001 - £30000,2,Own it outright,"£1,000 or more",No,Yes,NA,Manage very well,Full-Time,Retired,Intermediate occupations
0,62,Male,10,NA,61-65,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,340,Don't manage very well,Disabled,NA,Not classified
21000,59,Female,2,NA,56-60,Single Working Adult,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£20001 - £25000,2,Living here rent free,"Less than £1,000",Yes,No,NA,Get by alright,Full-Time,NA,Lower managerial and professional occupations
29000,52,Male,2,4,51-55,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,370,Get by alright,Full-Time,Homemaker,Lower managerial and professional occupations
45000,40,Male,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,550,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
7000,44,Female,3,NA,41-45,Single Working Adult,No Qualifications,6,Junior non-manual workers,£6001 - £10000,3,Rents (including rents paid by housing benefit),No savings,No,No,450,Get by alright,Part-Time,NA,Semi-routine occupations
16000,19,Male,2,NA,16-20,Single Working Adult,HNC/HND (SVQ Level 4),5,Skilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,340,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
0,55,Male,10,NA,51-55,Non-Working Single,NA,9,Inadequately described and not stated,£6001 - £10000,10,Rents (including rents paid by housing benefit),Refusal,No,No,360,Manage very well,Disabled,NA,Not classified
0,58,Female,10,NA,56-60,Non-Working Single,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,NA,10,Own it outright,No savings,No,No,NA,Have some financial difficulties,Disabled,NA,Semi-routine occupations
19000,27,Male,2,NA,26-30,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£15001 - £20000,2,Buying with mortgage/loan,"Less than £1,000",No,No,240,Get by alright,Full-Time,NA,Routine occupations
0,39,Male,10,NA,36-40,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,Yes,No,270,Manage quite well,Disabled,NA,Not classified
56000,38,Female,2,2,41-45,Working Couple,NA,2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,Yes,680,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
8000,38,Female,3,NA,36-40,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£10001 -£15000,3,Rents (including rents paid by housing benefit),No savings,No,No,400,Get by alright,Part-Time,NA,Semi-routine occupations
3000,21,Female,1,6,21-25,"Couple, one works",Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£10001 -£15000,1,Rents (including rents paid by housing benefit),No savings,No,No,350,Don't manage very well,Self-Employed,Unemployed,Small employers and own account workers
40000,36,Male,1,4,36-40,"Couple, one works",NA,4,Own account workers (other than professional),£40001,1,Buying with mortgage/loan,"£1,000 or more",No,Yes,250,Get by alright,Self-Employed,Homemaker,Small employers and own account workers
22000,45,Male,2,NA,41-45,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,No,Yes,450,Don't manage very well,Full-Time,NA,Routine occupations
59000,46,Male,2,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,3,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,900,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
19000,52,Male,1,NA,51-55,Single Working Adult,HNC/HND (SVQ Level 4),4,Own account workers (other than professional),£20001 - £25000,1,Rents (including rents paid by housing benefit),No savings,No,No,330,Get by alright,Self-Employed,NA,Small employers and own account workers
18000,37,Female,2,NA,36-40,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),No savings,No,No,400,Get by alright,Full-Time,NA,Semi-routine occupations
51000,58,Male,1,1,51-55,Working Couple,NA,4,Employers and managers - small establishments,£40001,1,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Self-Employed,Self-Employed,Small employers and own account workers
34000,54,Male,2,1,51-55,Working Couple,NA,2,Employers and managers - small establishments,£30001 - £40000,1,Buying with mortgage/loan,"£1,000 or more",No,No,450,Get by alright,Full-Time,Self-Employed,Lower managerial and professional occupations
59000,33,Male,2,2,26-30,Working Couple,NA,2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,730,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
0,58,Female,6,NA,56-60,Non-Working Single,Other Qualifications,9,Inadequately described and not stated,£20001 - £25000,6,Rents (including rents paid by housing benefit),No savings,No,No,370,Get by alright,Unemployed,NA,Not classified
0,19,Female,6,6,16-20,"Couple, neither work",Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£0 - £6000,6,Rents (including rents paid by housing benefit),No savings,No,No,370,Get by alright,Unemployed,Unemployed,Not classified
48000,58,Male,2,4,46-50,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,4,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage very well,Full-Time,Homemaker,Lower managerial and professional occupations
20000,61,Male,1,4,56-60,"Couple, one works",Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£30001 - £40000,4,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Self-Employed,Homemaker,Small employers and own account workers
11000,52,Female,2,NA,51-55,Single Working Adult,No Qualifications,7,Skilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,No,No,340,Get by alright,Full-Time,NA,Routine occupations
38000,55,Male,2,2,51-55,Working Couple,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,490,Manage quite well,Full-Time,Full-Time,Semi-routine occupations
0,62,Male,5,5,61-65,"Couple, neither work",HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£0 - £6000,5,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Retired,Retired,Not classified
13000,62,Male,1,5,61-65,"Couple, one works",NA,2,Intermediate non-manual workers,£10001 -£15000,1,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Self-Employed,Retired,Lower managerial and professional occupations
37000,45,Male,1,4,46-50,"Couple, one works",No Qualifications,4,Employers and managers - small establishments,£30001 - £40000,4,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage very well,Self-Employed,Homemaker,Small employers and own account workers
0,47,Male,10,NA,46-50,Non-Working Single,No Qualifications,9,Inadequately described and not stated,NA,10,Rents (including rents paid by housing benefit),Don't know,No,No,310,Get by alright,Disabled,NA,Not classified
18000,50,Male,1,NA,46-50,Single Working Adult,Standard Grade (SVQ Level 1 and 2),4,Farmers - own account,£15001 - £20000,1,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Self-Employed,NA,Small employers and own account workers
30000,52,Female,1,NA,21-25,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£30001 - £40000,2,Own it outright,No savings,No,Yes,NA,Get by alright,Self-Employed,NA,Semi-routine occupations
9000,24,Male,2,NA,21-25,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Junior non-manual workers,£6001 - £10000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,440,Get by alright,Full-Time,NA,Semi-routine occupations
0,52,Female,6,11,46-50,"Couple, neither work",HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£20001 - £25000,11,Rents (including rents paid by housing benefit),No savings,No,No,630,Get by alright,Unemployed,Short-Term_Disabled,Not classified
19000,61,Male,3,3,61-65,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£15001 - £20000,3,Own it outright,"Less than £1,000",Yes,No,NA,Get by alright,Part-Time,Part-Time,Semi-routine occupations
43000,43,Male,2,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),7,Skilled manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,420,Manage quite well,Full-Time,Part-Time,Routine occupations
29000,43,Male,2,10,36-40,"Couple, one works",HNC/HND (SVQ Level 4),5,Skilled manual workers,£30001 - £40000,10,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,410,Get by alright,Full-Time,Disabled,Lower supervisory and technical occupations
14000,58,Male,2,NA,56-60,Single Working Adult,No Qualifications,7,Unskilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,Yes,Yes,350,Get by alright,Full-Time,NA,Routine occupations
58000,31,Male,1,1,26-30,Working Couple,Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£40001,1,Buying with mortgage/loan,"£1,000 or more",No,No,500,Manage quite well,Self-Employed,Self-Employed,Small employers and own account workers
26000,37,Male,2,3,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,900,Get by alright,Full-Time,Part-Time,Intermediate occupations
54000,38,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,No savings,Yes,Yes,470,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
39000,47,Male,2,3,46-50,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Employers and managers - small establishments,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,Yes,680,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
37000,39,Male,3,1,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,3,Own it outright,"£1,000 or more",Yes,No,NA,Get by alright,Part-Time,Self-Employed,Lower managerial and professional occupations
7000,33,Female,3,NA,31-35,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£15001 - £20000,3,Part rent/part mortgage,"Less than £1,000",No,No,330,Manage quite well,Part-Time,NA,Intermediate occupations
0,42,Female,10,NA,41-45,Non-Working Single,No Qualifications,9,Inadequately described and not stated,NA,10,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,400,Don't manage very well,Disabled,NA,Not classified
19000,54,Male,2,NA,51-55,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),7,Skilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,360,Get by alright,Full-Time,NA,Routine occupations
0,54,Male,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£15001 - £20000,10,Rents (including rents paid by housing benefit),No savings,No,No,260,Get by alright,Disabled,NA,Not classified
40000,60,Male,1,5,56-60,"Couple, one works",HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,1,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Self-Employed,Retired,Lower managerial and professional occupations
50000,40,Male,2,3,36-40,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Intermediate non-manual workers,£40001,3,Buying with mortgage/loan,No savings,Yes,No,600,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
13000,40,Female,2,3,36-40,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,450,Get by alright,Full-Time,Part-Time,Semi-routine occupations
55000,38,Male,2,2,36-40,Working Couple,NA,2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
40000,59,Male,2,2,56-60,Working Couple,NA,5,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,660,Get by alright,Full-Time,Full-Time,Lower supervisory and technical occupations
42000,59,Male,3,1,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,3,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,750,Manage very well,Part-Time,Self-Employed,Lower managerial and professional occupations
61000,33,Male,2,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,600,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
17000,42,Male,2,NA,41-45,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Personal service workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),No savings,No,No,390,Don't manage very well,Full-Time,NA,Routine occupations
35000,38,Male,2,4,26-30,"Couple, one works",No Qualifications,5,Foremen and supervisors,£30001 - £40000,4,Buying with mortgage/loan,"£1,000 or more",No,No,500,Manage very well,Full-Time,Homemaker,Lower supervisory and technical occupations
21000,56,Female,1,3,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£20001 - £25000,1,Buying with mortgage/loan,"£1,000 or more",Yes,No,240,Get by alright,Self-Employed,Part-Time,Lower managerial and professional occupations
32000,58,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),7,Skilled manual workers,£30001 - £40000,2,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Full-Time,Routine occupations
0,59,Male,4,NA,56-60,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,£25001 - £30000,4,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Homemaker,NA,Not classified
40000,60,Male,1,1,56-60,Working Couple,HNC/HND (SVQ Level 4),4,Farmers - own account,£40001,1,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Self-Employed,Self-Employed,Small employers and own account workers
52000,46,Male,2,3,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Employers and managers - large establishments,£40001,3,Buying with mortgage/loan,"£1,000 or more",No,Yes,760,Get by alright,Full-Time,Part-Time,Higher managerial and professional occupations
2000,47,Female,3,NA,46-50,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,390,Get by alright,Part-Time,NA,Routine occupations
23000,60,Male,2,1,56-60,Working Couple,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,450,Manage quite well,Full-Time,Self-Employed,Routine occupations
31000,61,Male,2,6,61-65,"Couple, one works",No Qualifications,5,Foremen and supervisors,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,Yes,420,Get by alright,Full-Time,Unemployed,Lower supervisory and technical occupations
23000,30,Female,2,NA,26-30,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£20001 - £25000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,500,Manage quite well,Full-Time,NA,Lower supervisory and technical occupations
0,55,Female,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,380,Get by alright,Disabled,NA,Not classified
24000,42,Male,2,4,41-45,"Couple, one works",HNC/HND (SVQ Level 4),5,Semi-skilled manual workers,£20001 - £25000,4,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage quite well,Full-Time,Homemaker,Lower supervisory and technical occupations
12000,30,Female,3,NA,26-30,Single Working Adult,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£20001 - £25000,3,Buying with mortgage/loan,"Less than £1,000",No,No,400,Get by alright,Part-Time,NA,Semi-routine occupations
62000,44,Male,2,2,41-45,Working Couple,HNC/HND (SVQ Level 4),7,Skilled manual workers,£40001,2,Buying with mortgage/loan,"Less than £1,000",No,Yes,480,Get by alright,Full-Time,Full-Time,Routine occupations
16000,37,Male,2,NA,36-40,Single Working Adult,HNC/HND (SVQ Level 4),7,Unskilled manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),No savings,No,No,290,Get by alright,Full-Time,NA,Routine occupations
